"elem_id","elem_codigo","elem_descripcion","elpr_precio"
944,"023252","VIDRIO TEMPLADO CIRCULAR 48 CMS",NULL
945,"023253","CERA SIMONEZ 300 GRS",NULL
946,"023254","PIE DE AMIGO PLATINA 1.1/4*3/16",NULL
321,"023255","SIKADUR 31 ADHESIVO 2KG",NULL
253,"023256","LUBRICANTE PENETRANTE 5-56",NULL
947,"023257","MALLAS CURVAS PROT. LUMINARIAS",NULL
65,"023258","BASES ADHESIVAS 25*25",NULL
948,"023259","REMACHES 5/32*5/8",NULL
949,"023260","COFRE RCG E40",NULL
214,"023261","ESTACION DE MANDO 2 PULSADORES",NULL
141,"023262","CHAZO DE EXPANSION 3/8*2.1/2",NULL
950,"023263","PERROS DE 5/32",NULL
951,"023264","GUAYA DE 3/32",NULL
952,"023265","BASES REFLECTOR DE 1.1/2*1/8",NULL
953,"023266","CRUCETA DE 2.1/2*2.1/2*1.50MTS",NULL
954,"023267","INSTALACIONES NAVIDE¥AS LUZ LLUVIA",NULL
955,"023268","ALAMBRE DULCE CAL.18",NULL
956,"023269","TAPAS DE CONCRETO 32*29 CMS",NULL
957,"023270","TAPA INTEMPERIE + PULSADOR ON-OFF",NULL
958,"023271","BASE REFLECTOR ANGULO 11/2*1/4",NULL
959,"023272","POSTE MET. 4*11 M + CRUCETA",NULL
960,"023273","VIDRIOS PARA FAROL",NULL
961,"023274","CHAZO MET.EXPANSION 1/2*2.1/2",NULL
962,"023275","CHAZO MET.EXPANSION 5/16*3",NULL
963,"023276","LIJA NO.36",NULL
964,"023277","CRUCETA DE 2*1/4*1.50 MTS",NULL
965,"023278","SIKADUR 31 1/4",NULL
138,"023279","CARCAZA VENUS E40 CON BASE",NULL
966,"023280","PUNTILLAS ACERO 3.1/2",NULL
967,"023281","AMARRES PLASTICOS DE 35 CMS",NULL
379,"023282","VIDRIOS DE 30*21 CMS",NULL
968,"023283","CRUCETAS FIJACION TORNILLOS 1/2*6",NULL
969,"023284","POSTE CONCRETO 14*750 KG",NULL
970,"023285","AMARRES PLASTICOS DE 10 CMS",NULL
971,"023286","LANILLAS ROJAS",NULL
972,"023300","VIDRIO DE 3 TRANSPARENTE",NULL
973,"023301","REMACHES 5/32*1",NULL
974,"023302","REMACHES POP 5/32*3/4",NULL
975,"023303","ESTUCO PLASTICO 1/4",NULL
976,"023304","SIKADUR 31 * 0.5 KG",NULL
977,"023305","POSTE MET. 11 MTS BRAZO SENCILLO",NULL
978,"023306","ACIDO MURIATICO",NULL
136,"023307","CARCAZA FAROL INSTITUCIONAL",NULL
979,"023308","DISCO METAL 4.1/2*1/8",NULL
980,"023309","ESPIGO PUNTA POSTE 15 KV",NULL
371,"023310","VARILLA DE COBRE 5/8*2.40",150044.00
981,"023311","AISLADOR POLIMERICO 15 KV",NULL
283,"023312","PARARRAYO POLIMERICO 12 KV 10KA",NULL
982,"023313","TRANSFORMADOR TRIF. 15 KVA 13.2KV",NULL
983,"023314","POSTE CONCRETO 10*750 KG",NULL
984,"023315","POSTE CONCRETO 12*1050 KG",NULL
985,"023316","DIAGONAL EN ANGULO 1.1/2*3/16* 0.68 MT GALV.",NULL
226,"023317","GRAPA OPERAR EN CALIENTE",NULL
986,"023318","PERCHA GALV. DE 3 PTOS",NULL
211,"023319","ESPARRAGO 5/8*14",NULL
987,"023320","TAPABOCAS",NULL
988,"023321","CANDADOS ITALIANOS",NULL
989,"023322","CARCAZA REFLECTOR 250W",NULL
990,"023323","TORNILLO GOLOSO 8*1",NULL
991,"023324","CHAZO EXPANSION 5/16*1 7/8",NULL
992,"023325","REJA EN VARILLA PARA REFLECTOR",NULL
993,"023326","SOGA NO.10",NULL
994,"023327","CANALETA PLASTICA 40*20",NULL
995,"023328","SINTESOLDA",NULL
996,"023329","VARSOL",NULL
997,"023330","CRUCETA GALV. 3*3*1/4*2.40 MTS",NULL
998,"023331","DIAGONAL EN ANG. GALV. 1.50 MTS",NULL
999,"023332","REJILLA PROTECTORA REFLECTOR",NULL
1000,"023333","VARILLA DE COBRE 5/8* 1 MTS",NULL
1001,"023334","TENSOR CABLE ANTIFRAUDE",NULL
1002,"023335","ARANDELA GALV. DE 7/16",NULL
1003,"023336","TAPAS METALICAS DE 2",NULL
1004,"023337","ANGULO GALV. DE 2.5*2.5*1/4*3 MTS",NULL
307,"023338","PULIMENTO BLANCO 1/4",NULL
1005,"023339","LAMINA CAL. 22 1*2 MTS",NULL
1006,"023340","REMACHE 1/8*1.1/2",NULL
1007,"023341","REMACHA 5/32*1/2",NULL
274,"023342","MALLA ZARANDA 5*5*0.9 MTR",NULL
1008,"023343","TORNILLO GOLOSO 8*1/2",NULL
1009,"023344","BALASTRO ELECTROCONTROL 2*96W",NULL
319,"023345","SIKA EMULSION ASFALTICA",NULL
1010,"023346","DIAGONAL EN ANG. DE 1.10 MTS",NULL
1011,"023347","UNION GALV. DE 1",NULL
1012,"023348","CUCHILLO ZAPATERO NO.1",NULL
1013,"023349","POSTE CONCRETO 12*750 KG",NULL
1014,"023350","CANDADO COVO NO.30",NULL
1015,"023351","VIDRIO CIRCULAR TEMPLADO DE 42 CMS DIAM.",NULL
1016,"023352","CANDADO EGRET #60",NULL
273,"023353","MALLA PROTECTORA VENUS E27",NULL
1017,"023354","CARCAZA ORION E40",NULL
373,"023355","VIDRIO BRONCE",NULL
316,"023356","REMACHE POP 5/32*3/8",NULL
1018,"023357","GUAYA 1/8",NULL
1019,"023358","PERROS 1/4",NULL
149,"023359","CLAVIJA TRIFILAR 20 AMP",NULL
1020,"023360","REMACHE POP 3/16*5/8",NULL
